beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
1e-11,0.0364,0.12000000000000002,0.0016257686121748758,0.0004945606809568262,0.08139287438099234,0.10954451150103323,0.002163734554370112,0.0006580327600194347
1.3599999999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.72e-11,0.0364,0.08,0.00206481387583934,0.0006151612625209313,0.08139287438099234,0.10954451150103324,0.0034206603371004568,0.0010186238527497746
2.08e-11,0.0364,0.04,0.0001323623814251655,4.08697476641582e-05,0.08139287438099234,0.08944271909999159,0.00029597128253042556,9.138753400032098e-05
2.4399999999999998e-11,0.0728,0.08,0.00012731353936420601,3.781124917333884e-05,0.16278574876198468,0.17888543819998318,0.00028468172847446,8.454852346576836e-05
2.7999999999999997e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.16e-11,0.0364,0.04,0.00025531389565626797,7.44586890415493e-05,0.08139287438099234,0.08944271909999159,0.0005708992262877035,0.00016649469021242288
3.52e-11,0.0,0.08,0.002308679822194702,0.0007205249724943412,0.0,0.10954451150103324,0.0033723915386042417,0.0010566335167955714
3.88e-11,0.0728,0.12000000000000002,0.0010900183722964687,0.0003172427413780321,0.16278574876198468,0.1788854381999832,0.0015697265365873336,0.0004551887104773575
4.24e-11,0.0364,0.08,0.0018572666167164728,0.0005560007746335298,0.08139287438099234,0.10954451150103323,0.003120607453715585,0.0009334761372821931
4.5999999999999996e-11,0.0728,0.16,0.0017679501863526639,0.0005499217347739304,0.09968550546594024,0.16733200530681513,0.0019516057460136507,0.0006095096093824571
4.9599999999999995e-11,0.0364,0.04,0.00043886086014679885,0.0001233839280580158,0.08139287438099234,0.08944271909999159,0.0009813227159522705,0.0002758948504686669
5.32e-11,0.0728,0.08,0.0002648213105368552,7.938238728136615e-05,0.09968550546594024,0.10954451150103323,0.0005862504978246881,0.0001758124909890336
5.6799999999999994e-11,0.1092,0.16,0.0009453053750483453,0.00028069884339263537,0.1627857487619847,0.16733200530681513,0.0015920274558326216,0.0004800508678370992
6.039999999999999e-11,0.0364,0.12000000000000002,0.0013905197139988774,0.00040786301561135185,0.08139287438099234,0.1788854381999832,0.0019169175245201129,0.0005599711958297334
6.399999999999999e-11,0.0364,0.08,0.0009755831100889397,0.00029728658177374345,0.08139287438099234,0.10954451150103323,0.0017024364436886183,0.0005197944208788901
6.759999999999999e-11,0.0,0.04,0.0013578569622927452,0.000404895867572624,0.0,0.08944271909999159,0.0030362604714079472,0.00090537468370114
7.12e-11,0.1092,0.16,0.0013449406405410449,0.00037343662250531335,0.1627857487619847,0.21908902300206645,0.001992823705047134,0.0005543154633236243
7.479999999999999e-11,0.0364,0.12000000000000002,0.0020104705143994283,0.0006134269303404894,0.08139287438099234,0.10954451150103323,0.0021296721185959737,0.0006578505883305746
7.84e-11,0.0,0.12000000000000002,0.0035090602645934986,0.001044180513541854,0.0,0.10954451150103323,0.0037968089328956917,0.0011383769682359525
8.199999999999999e-11,0.0364,0.16,0.0027252367054361364,0.0008013938189622667,0.08139287438099234,0.16733200530681513,0.003490495184490678,0.0010180592997097334
8.559999999999998e-11,0.0364,0.12000000000000002,0.0017136713145865443,0.000506366154215784,0.08139287438099234,0.1788854381999832,0.002415762799882234,0.0007207121586923507
8.92e-11,0.1092,0.16,0.0025489601692682954,0.0007332347526432399,0.1627857487619847,0.16733200530681513,0.0032742205296518254,0.000936036540419518
9.279999999999999e-11,0.0364,0.08,0.0018775411606407003,0.0005630358790649625,0.08139287438099234,0.10954451150103323,0.003059901023906863,0.0009160747278361822
9.64e-11,0.0728,0.16,0.002070370262947358,0.0006231979006409285,0.09968550546594024,0.16733200530681513,0.0031865339172399126,0.0009616868151052873
1e-10,0.1092,0.24,0.0014579561196117982,0.0004403855201386044,0.1627857487619847,0.16733200530681513,0.0013194248318011016,0.0004074484224933579
1.36e-10,0.0728,0.08,0.0005541076808273142,0.00017174326570242466,0.09968550546594024,0.10954451150103323,0.0010089222018440233,0.00031501123987442325
1.72e-10,0.0,0.04,0.0006023991006021388,0.00017187510778521488,0.0,0.08944271909999159,0.0013470053385311168,0.0003843244246478438
2.08e-10,0.0,0.08,0.00255960307530935,0.0007163557592398855,0.0,0.10954451150103323,0.0035306109865838155,0.0009904927334716666
2.44e-10,0.0364,0.08,0.0006277755210934514,0.00019044527176409777,0.08139287438099234,0.10954451150103324,0.001196267997042854,0.0003619529219336271
2.8e-10,0.1092,0.2,0.0027874886535966853,0.0008525673592819881,0.09968550546594024,0.14142135623730953,0.003106504148592641,0.0009597997458251957
3.1600000000000005e-10,0.1092,0.2,0.002644935151110244,0.0007771125349856542,0.1627857487619847,0.28284271247461906,0.0037148738055606026,0.0010910412713822978
3.52e-10,0.1456,0.27999999999999997,0.003278427598714085,0.000977815744518286,0.08139287438099235,0.17888543819998318,0.0031220867833502306,0.0009454902862903374
3.88e-10,0.1092,0.16,0.0018691334986126334,0.000560406687689422,0.09968550546594024,0.16733200530681513,0.0029841933860900705,0.0008914808008619869
4.2400000000000004e-10,0.0,0.12000000000000002,0.002086003786260608,0.0006266250386252822,0.0,0.1788854381999832,0.003130562638632667,0.0009455399531134567
4.5999999999999996e-10,0.0364,0.16,0.001417871636873112,0.0004187218905087834,0.08139287438099234,0.21908902300206645,0.0019631771046061093,0.0005802747296116187
4.96e-10,0.0728,0.2,0.0025677483883820213,0.0007455142044654183,0.09968550546594024,0.2,0.002623134966720348,0.000756653765395413
5.32e-10,0.1092,0.2,0.002577242974592109,0.0007545603451665883,0.09968550546594024,0.2,0.003467657096623776,0.0010032634350426114
5.68e-10,0.0728,0.12000000000000002,0.0008860888315767679,0.0002562959550912483,0.09968550546594024,0.1788854381999832,0.0017586364901187495,0.0005047245871099269
6.04e-10,0.1092,0.12000000000000002,0.0009662226454360053,0.0002853844219044231,0.09968550546594024,0.10954451150103323,0.0010066770102093439,0.0002935348625180584
6.4e-10,0.1092,0.24000000000000005,0.004021471964122016,0.0011825917645730806,0.1627857487619847,0.21908902300206645,0.003272456658733215,0.0009550952332285244
6.76e-10,0.1092,0.12000000000000002,0.000276832073611425,7.733037519565172e-05,0.1627857487619847,0.1788854381999832,0.0005713823848788726,0.000158823348362291
7.12e-10,0.0364,0.08,0.0012151336412626734,0.00036249575335606634,0.08139287438099234,0.10954451150103324,0.0019972965655948288,0.0006042616773964959
7.48e-10,0.18200000000000002,0.2,0.0006800257811075926,0.00020629128051359328,0.12869343417595167,0.14142135623730953,0.0006554618961220326,0.00020278226033844518
7.84e-10,0.0364,0.12000000000000002,0.0017159130536295746,0.0005168055756843129,0.08139287438099234,0.10954451150103323,0.0019294599324756895,0.0005752546591425239
8.2e-10,0.0364,0.12000000000000002,0.0028742377847407853,0.0008853163175644469,0.08139287438099234,0.10954451150103323,0.003099436262709515,0.00095982619246026
8.559999999999999e-10,0.0364,0.08,0.0010234911780647611,0.0002980947984009403,0.08139287438099234,0.10954451150103323,0.001467099937131185,0.000430157632317667
8.92e-10,0.18200000000000002,0.31999999999999995,0.004378742098019527,0.0012609084512610496,0.0,0.10954451150103323,0.0025130315379016093,0.0007096212316558858
9.28e-10,0.0364,0.08,0.001206500262985246,0.0003586420894311493,0.08139287438099234,0.10954451150103323,0.002233010061846304,0.000673715432639611
9.640000000000002e-10,0.0728,0.08,6.307850530968745e-05,1.8735449398193137e-05,0.16278574876198468,0.17888543819998318,0.00014104782579154256,4.1893738443367374e-05
