l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
0.0,1698535.0,173455.0,3524.0,10.137400000000001,11.338600000000001,0.03257723175250809,0.03644877408347671
1.0,58925980.0,88519.0,283.0,6.6794,6.5884,0.03886323903490108,0.2306977351330534
2.0,54664293.0,95978.0,2884.0,9.7916,11.011000000000001,0.04396335701322131,0.049982312712764314
3.0,86160606.0,35708.0,4055.0,12.976600000000001,12.9402,0.041937365959856907,0.10411208410868629
4.0,38596950.0,124432.0,1158.0,9.5004,10.6834,0.032300066476943175,0.041192396641374064
5.0,68943619.0,165249.0,3851.0,9.7006,10.883600000000001,0.03270506076866926,0.041876039129566514
6.0,88971865.0,101765.0,4478.0,9.991800000000001,9.955400000000001,0.04946511323846671,0.08352798856588857
7.0,79656605.0,67015.0,1911.0,6.6794,6.570200000000001,0.0423203920271483,0.8882583501538047
8.0,69552197.0,98353.0,1231.0,11.1202,11.0838,0.04371473671603521,0.08832313493697311
9.0,55781271.0,1858.0,2162.0,9.354800000000001,12.357800000000001,0.032193774121885364,0.03615930140099766
10.0,21386418.0,100519.0,4083.0,9.4094,9.373000000000001,0.036574437806336124,0.12360238978572032
11.0,3560244.0,159372.0,4167.0,10.0464,10.647,0.03298126133579028,0.04810542814503234
12.0,2709815.0,39019.0,52.0,6.5156,6.424600000000001,0.04470002551943307,0.2136858651155704
13.0,70172996.0,6809.0,70.0,12.831000000000001,13.377,0.032435524678158814,0.043599089143205344
14.0,71084596.0,147730.0,3837.0,10.101,10.0828,0.03668565710836168,0.06562127217134038
15.0,61885555.0,138441.0,4968.0,10.0646,10.0464,0.038953734980604976,0.0609206667718223
16.0,17712291.0,25326.0,1602.0,11.6844,13.5044,0.041871994066648266,0.043797408234861314
17.0,1230337.0,20951.0,1194.0,9.3002,9.9008,0.03799295608181344,0.047898083122671936
18.0,6275464.0,43957.0,3200.0,14.760200000000001,14.742,0.0490706321519528,0.058331590910585415
19.0,85574844.0,44525.0,2764.0,8.1536,8.0808,0.04533711436960884,0.24537390031563025
20.0,32960445.0,51100.0,2288.0,10.3376,11.5934,0.03792030005087675,0.04005146016987078
21.0,31471316.0,121989.0,2165.0,14.2506,14.2324,0.03638809354667416,0.05717523791585369
22.0,36799007.0,22013.0,1077.0,11.6844,11.648,0.03468102849988985,0.08598026652573765
23.0,30629008.0,158637.0,4759.0,9.955400000000001,9.919,0.04321375853089292,0.07212450893713421
24.0,79830821.0,50734.0,4994.0,10.0464,10.01,0.04816597817628202,0.09305887768844617
25.0,4890360.0,155924.0,4085.0,10.01,11.2476,0.03991678691650327,0.04814456330762685
26.0,44908847.0,134522.0,2123.0,12.230400000000001,12.212200000000001,0.037385520072198794,0.05673298779486336
27.0,82082701.0,100932.0,1993.0,10.2466,10.2284,0.049540820568077584,0.054608152526369934
28.0,66626343.0,83340.0,2227.0,11.8118,11.8118,0.0372383093328507,0.043066770586415414
29.0,9729047.0,18026.0,4308.0,10.01,9.973600000000001,0.03823586421070478,0.08377948690435758
30.0,87717497.0,97105.0,1468.0,10.410400000000001,11.011000000000001,0.03921121092024206,0.04942854278827916
31.0,81294837.0,64287.0,1530.0,10.6288,11.8664,0.04770906754608679,0.04964833525030152
32.0,45246252.0,10268.0,1017.0,9.682400000000001,9.6278,0.044932876312111486,0.13253066951837775
33.0,69361867.0,34927.0,1603.0,9.536800000000001,11.9574,0.03490719084050573,0.03833357468034467
34.0,36119987.0,156202.0,1772.0,9.973600000000001,11.2112,0.03477900533966661,0.04585628398894977
35.0,68302872.0,133342.0,3269.0,9.3184,9.282,0.03683852027436225,0.06964059954600377
36.0,36364994.0,26331.0,4098.0,11.4478,11.4114,0.036769354979006096,0.12697487068019409
37.0,54575048.0,113691.0,3513.0,10.2102,11.4478,0.03506775234261879,0.038071558355649696
38.0,56669630.0,111835.0,1561.0,9.9372,9.9008,0.03473852917571943,0.08253451216893429
39.0,7550777.0,111238.0,2002.0,8.645,12.248600000000001,0.04097900039332397,0.04062912132697966
40.0,44668523.0,37816.0,269.0,8.8452,11.2476,0.030079473327618747,0.03610639848085911
41.0,18030717.0,132338.0,3121.0,10.5378,10.5378,0.04798465411927895,0.04883201272297649
42.0,55863163.0,177391.0,1666.0,8.8088,11.2294,0.04364061506109301,0.04460764758256521
43.0,35833042.0,88491.0,3471.0,7.4074,12.1758,0.04357407854666509,0.048459116462469747
44.0,51496313.0,160555.0,4931.0,11.4296,11.4296,0.03667637142139493,0.04384643219106181
45.0,55193316.0,122932.0,4493.0,10.592400000000001,10.592400000000001,0.03940743556251955,0.0444417099890917
46.0,63603494.0,25799.0,3506.0,9.9372,10.5196,0.030661452112097146,0.04304706247582253
47.0,40563057.0,26850.0,4061.0,8.2446,10.0464,0.03379962359220284,0.046440445635082886
48.0,90800728.0,20819.0,558.0,9.8462,9.809800000000001,0.049175487291650374,0.09046862023614495
49.0,69652867.0,74525.0,1616.0,11.8118,11.793600000000001,0.039562065347313116,0.05391523374495947
50.0,45072809.0,168775.0,1045.0,9.209200000000001,9.1364,0.045243216205161904,0.22150420488887543
51.0,76415496.0,152234.0,1004.0,8.1536,8.099,0.04180243794568245,0.12516815073237036
52.0,73118078.0,29482.0,3426.0,11.611600000000001,11.611600000000001,0.04803271266210106,0.04474608065239336
53.0,17372299.0,34290.0,2033.0,10.5014,10.4832,0.03913559994448088,0.0649556132726291
54.0,65610945.0,164255.0,4731.0,11.1384,11.757200000000001,0.03147281237590716,0.04162410191048595
55.0,1041188.0,3246.0,1705.0,9.4458,9.4276,0.03580404632898639,0.07040405145718272
56.0,18747090.0,164162.0,103.0,10.119200000000001,10.719800000000001,0.02439863799271677,0.04534874262293617
57.0,85081206.0,64470.0,859.0,12.0302,11.9938,0.03619672548593389,0.08708126107213546
58.0,70775474.0,107671.0,332.0,9.6278,9.5914,0.03678691261431792,0.07357903802227922
59.0,88854548.0,78774.0,3888.0,9.5732,9.536800000000001,0.03693591916743169,0.09793049777931682
60.0,42607190.0,74706.0,4565.0,11.757200000000001,12.3032,0.030040277829277658,0.04336786984039544
61.0,64905211.0,23278.0,3774.0,10.2284,10.1738,0.037506478811251756,0.185703968412475
62.0,17110742.0,6105.0,3218.0,10.410400000000001,10.374,0.04797831906634684,0.0882792246945327
63.0,71146533.0,46628.0,532.0,16.835,16.7986,0.03733270417810174,0.08492769077572614
64.0,92645983.0,96898.0,325.0,9.7188,9.682400000000001,0.040676903034506946,0.05927274992027144
65.0,25640227.0,6633.0,2466.0,9.555,10.7744,0.03082048803178898,0.03588352017490824
66.0,37546547.0,56123.0,1946.0,10.4832,10.428600000000001,0.047247498120925116,0.12094156724007313
67.0,87146616.0,146454.0,1519.0,7.844200000000001,7.8260000000000005,0.03506142738622036,0.05164272335013588
68.0,39445512.0,26017.0,3632.0,12.103,12.066600000000001,0.048568413717101924,0.09504456929308894
69.0,729568.0,63747.0,710.0,11.320400000000001,11.284,0.035515999656698695,0.08020874048641723
70.0,65253324.0,26083.0,357.0,10.2466,11.466000000000001,0.041511146409354084,0.04584246284222396
71.0,51143173.0,88861.0,699.0,12.4124,12.376000000000001,0.03609678267478154,0.08480068143220397
72.0,47671965.0,50690.0,818.0,8.171800000000001,11.174800000000001,0.03759476028032561,0.04081803486251019
73.0,52115565.0,86323.0,4230.0,11.2112,11.174800000000001,0.039290632883182006,0.0965034195084318
74.0,89905292.0,178996.0,2830.0,13.3042,13.286000000000001,0.03989297929189886,0.060784239893012265
75.0,71354200.0,122179.0,3061.0,11.557,12.7218,0.03139602648403539,0.04334809129046167
76.0,81729496.0,121944.0,4632.0,9.2456,9.227400000000001,0.03635900560290359,0.07056580562880664
77.0,40350180.0,72048.0,4090.0,8.6814,8.608600000000001,0.04381727050739752,0.12305778440710692
78.0,78402117.0,128552.0,376.0,7.8624,13.7956,0.04447626119927918,0.04777868335294674
79.0,50554142.0,94912.0,2217.0,8.8452,10.701600000000001,0.04334815569647294,0.04288827920665301
80.0,62430235.0,57825.0,531.0,7.4984,9.9372,0.037397783542203966,0.046308887483387254
81.0,52642521.0,170195.0,2894.0,10.7744,11.320400000000001,0.03887347844759083,0.039650610115097316
82.0,58244660.0,67826.0,4811.0,8.5176,8.4266,0.041989027428923256,0.37934608755208254
83.0,44938193.0,58982.0,4658.0,8.8634,11.8846,0.043387156282159264,0.04535889093137598
84.0,96278344.0,49715.0,2198.0,9.354800000000001,9.3366,0.04694429435703057,0.06313125959204523
85.0,85466690.0,109161.0,654.0,8.6996,11.7208,0.04369552988677654,0.043185229927266644
86.0,46784849.0,80536.0,2814.0,8.608600000000001,8.554,0.03459201028903001,0.09240496514525627
87.0,15302383.0,77126.0,193.0,9.7006,12.1212,0.042557763132435374,0.04151058559684378
88.0,33284428.0,52616.0,100.0,9.3366,12.394200000000001,0.06289904556597561,0.045412644318957536
89.0,32065096.0,177583.0,3725.0,11.466000000000001,11.4296,0.040317769651894556,0.08288112958748982
90.0,46978.0,170588.0,1910.0,12.012,12.012,0.039799204357754865,0.04605568723750261
91.0,6152095.0,72721.0,364.0,11.375,11.3568,0.03732955402634477,0.057360721552539524
92.0,38070000.0,137506.0,2901.0,10.592400000000001,10.574200000000001,0.03743942118419355,0.05826477749062429
93.0,69887221.0,107655.0,1241.0,10.865400000000001,10.8472,0.040787238586807356,0.05214106384312625
94.0,10218997.0,143714.0,4188.0,8.6632,12.831000000000001,0.03927212151655425,0.03727585192343217
95.0,63651626.0,30933.0,3478.0,10.883600000000001,10.8472,0.036242731188455696,0.08688443958714641
96.0,40198092.0,65920.0,489.0,11.7026,11.6662,0.04401434629956488,0.08458942196535754
97.0,36881047.0,168136.0,4668.0,10.865400000000001,10.865400000000001,0.04498506011613054,0.0498155320531891
