dynamical_system,architecture,w2
L96,LocalDeepSkip_1_4,23.790082842021395
L96,LocalDeepSkip_2_2,23.78227458954161
L96,LocalDeepSkipN_2_2,23.776210101975984
L96,LocalSkip_2_2,23.807054525271337
L96,SkipRFM,23.790816554501813
L96,DeepSkip,23.794472795247593
L96,LocalDeepRFM_2_2,23.77194304779409
