dynamical_system,architecture,w2
L96,LocalDeepSkip_1_4,0.012489036857901821
L96,LocalDeepSkip_2_2,0.01357327775606832
L96,LocalDeepSkipN_2_2,0.01548858097048008
L96,LocalSkip_2_2,0.01896546254821079
L96,SkipRFM,0.017584729445754448
L96,DeepSkip,0.016420137984038935
L96,LocalDeepRFM_2_2,0.01577377937064886
