beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
1e-11,0.0987,0.0987,0.1562247699565723,0.12988365246235337,0.042038077976996054,0.042038077976996054,0.06834292828398138,0.06231588421411594
1.3599999999999999e-11,0.07050000000000001,0.07050000000000001,0.12395086271452063,0.130952319196808,0.0235,0.0235,0.032192997117502405,0.04372258411499899
1.72e-11,0.0799,0.0846,0.14335584144741934,0.10891538754301455,0.051485920405485615,0.056595494520323794,0.11611187761580875,0.08539639536863987
2.08e-11,0.0423,0.0423,0.09033167996481388,0.06669069211627565,0.03861444030411421,0.03861444030411421,0.08907455717064815,0.0625524542653759
2.4399999999999998e-11,0.0799,0.0846,0.1659113378629694,0.15635647028734648,0.03563951458704228,0.03563951458704228,0.08364463366906809,0.06029443711696227
2.7999999999999997e-11,0.0893,0.0893,0.12338646816021345,0.13060800257293073,0.0257429602027428,0.0257429602027428,0.04070883145955841,0.024200179055589056
3.16e-11,0.0893,0.0752,0.1195809344073385,0.1833154204312099,0.07127902917408457,0.05358824497965949,0.11609204543054823,0.20028229722847518
3.52e-11,0.0987,0.094,0.11166613137227292,0.12771231614104567,0.03861444030411421,0.033234018715767734,0.06115922768635579,0.09945345187155694
3.88e-11,0.0987,0.0893,0.1558753453293618,0.17518173851489782,0.03861444030411421,0.030640251304452443,0.06761715917668067,0.12517843703322273
4.24e-11,0.0893,0.0893,0.14652483128363916,0.1494953117540257,0.030640251304452443,0.030640251304452443,0.04894629012816939,0.06437663997818104
4.5999999999999996e-11,0.11750000000000001,0.11279999999999998,0.20034536731547736,0.19095798325281912,0.01661700935788387,0.01966151062355078,0.031883337073668354,0.06302063518224855
4.9599999999999995e-11,0.07520000000000002,0.07520000000000002,0.15220736410015726,0.16191724151052353,0.038614440304114206,0.038614440304114206,0.07424297108204894,0.05314609821254803
5.32e-11,0.1081,0.1081,0.15817428536169093,0.16753162283339615,0.039323021247101554,0.03563951458704229,0.06860058348875456,0.09467358079355889
5.6799999999999994e-11,0.06580000000000001,0.06580000000000001,0.07628748327849051,0.07680132062511057,0.05851452811054705,0.05851452811054705,0.07202074596750845,0.06930777325519308
6.039999999999999e-11,0.1269,0.1269,0.20805192041193993,0.2038349634760186,0.02101903898849803,0.02101903898849803,0.052803959979239895,0.06362707138608202
6.399999999999999e-11,0.1316,0.1222,0.18313110732912144,0.21448974141870686,0.03563951458704229,0.030640251304452453,0.044277941129376476,0.07904113995391514
6.759999999999999e-11,0.1081,0.1081,0.17243122292576601,0.19326116742413163,0.0612805026089049,0.058984531870652335,0.08252652630478129,0.09352895437468932
7.12e-11,0.0799,0.0799,0.09556507545730074,0.11085807246139294,0.05148592040548562,0.05148592040548562,0.059896939317436254,0.08719928004855522
7.479999999999999e-11,0.0799,0.0752,0.13000613707983089,0.1429294914502129,0.04268986999277463,0.04203807797699604,0.0719288626753533,0.10520271140515543
7.84e-11,0.1034,0.1034,0.14000408307900314,0.13013965087589413,0.0612805026089049,0.0612805026089049,0.07894863550937603,0.0738175747825317
8.199999999999999e-11,0.0893,0.0893,0.14791737722839315,0.16134657931008073,0.056105481015672615,0.05358824497965949,0.0948681109813488,0.10319111397669134
8.559999999999998e-11,0.0376,0.0376,0.053414814715111426,0.06014638832497672,0.021019038988498027,0.021019038988498027,0.04833599557012195,0.06408341603632942
8.92e-11,0.09870000000000001,0.09869999999999998,0.18129287385442067,0.19414054934195496,0.05094678596339519,0.04520315254492766,0.07919432810596377,0.06815037030043214
9.279999999999999e-11,0.0846,0.0846,0.12694871942153418,0.15276391605853462,0.0612805026089049,0.0612805026089049,0.07429806935261651,0.09970137026277053
9.64e-11,0.056400000000000006,0.056400000000000006,0.07582545885930153,0.07556440110734672,0.039323021247101554,0.039323021247101554,0.07323128074559197,0.06236690046245089
1e-10,0.08459999999999998,0.07989999999999998,0.11731808589429187,0.14375690592396384,0.03563951458704228,0.03152855848274703,0.05787173277351329,0.10085778568692418
1.36e-10,0.094,0.0846,0.19121249943039093,0.23548026389465387,0.028781504477702342,0.03563951458704229,0.04692027211921255,0.11667342315848182
1.72e-10,0.0846,0.0846,0.12709295154068911,0.14561553973306382,0.04268986999277464,0.04268986999277464,0.0741382272172656,0.07888948610084077
2.08e-10,0.08460000000000001,0.08460000000000001,0.14607016684055507,0.1476985939314273,0.02679412248982974,0.02679412248982974,0.03771448513314885,0.04052770089356646
2.44e-10,0.05639999999999999,0.05639999999999999,0.07955876722011064,0.09513946117873262,0.05898453187065232,0.05898453187065232,0.07516634733123459,0.08821467448044337
2.8e-10,0.1081,0.094,0.16407310097245575,0.20757174336609832,0.054101062836140294,0.04070319397786862,0.04535560978844321,0.10551173175207444
3.1600000000000005e-10,0.0799,0.0752,0.11176275216164526,0.11023880464723317,0.04873063718032015,0.04520315254492767,0.08076636419062176,0.09974481488057105
3.52e-10,0.0893,0.0893,0.14294629724879088,0.15263848629188856,0.03064025130445245,0.03064025130445245,0.03509606530950867,0.05147913232421197
3.88e-10,0.11280000000000001,0.1034,0.13466707823068244,0.17776775784875823,0.04203807797699605,0.031528558482747035,0.06352917298733463,0.13501364497481835
4.2400000000000004e-10,0.094,0.1034,0.2022864652339517,0.17775863164797157,0.023499999999999993,0.026794122489829746,0.0784632396119515,0.055349592418735695
4.5999999999999996e-10,0.0705,0.0705,0.09570104220367134,0.10044495954276503,0.028781504477702342,0.028781504477702342,0.05831374794965909,0.03859791353004375
4.96e-10,0.0799,0.0752,0.1271447097515865,0.16556754542168362,0.05148592040548562,0.045203152544927655,0.09112106832204288,0.12373211863177547
