D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
4096,1,78.4,0.4794499999999999,0.4385999999999999,0.2309771865019917,0.3164364556265195,0.4161097135972674,0.4174129624843963,0.0108403487530092,0.0384117794398452
8192,1,0.676,0.3956,0.3655,0.2504348668766771,0.3139144244212974,0.3072131080374012,0.26875,0.0194780043613852,0.0770613104560446
