D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
4096,1,9.28,0.19737,0.17887999999999996,0.246303540138673,0.30748483288722106,0.06939813581692127,0.05480783234054752,0.022000374324933968,0.05619979045737621
8192,1,71.2,0.20081,0.18274999999999997,0.24681018040588035,0.29145712696948556,0.11618931414662136,0.09114239948741884,0.02186620170205,0.06604093710999909
