l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,74490111.0,70543.0,456.0,6.0155,6.197100000000001,0.3371994075165616,0.24620049126421079,18.66032314300537
1.0,47613419.0,74763.0,20.0,8.626000000000001,8.853,0.41656895285723006,0.24848761382859116,18.165731191635132
2.0,76184455.0,37515.0,245.0,8.0585,9.1027,0.34897215902806267,0.24765577869057087,18.113234519958496
3.0,40623593.0,16792.0,169.0,6.2879000000000005,6.6284,0.39838782373966897,0.24970535915805647,18.160472869873047
4.0,80940389.0,84638.0,426.0,8.5806,8.6941,0.324538522637964,0.23953138202336574,18.1573703289032
5.0,18077804.0,71330.0,471.0,8.399000000000001,8.512500000000001,0.31158430038870394,0.24680373035078298,18.19801139831543
6.0,32152492.0,58600.0,264.0,5.198300000000001,5.221,0.26003635613155035,0.2354924252805209,18.123398065567017
7.0,21707564.0,51117.0,140.0,6.4695,6.605700000000001,0.36051244857301995,0.2378502577719664,18.1506245136261
8.0,52520707.0,59612.0,47.0,7.0597,7.2186,0.2834853343466203,0.24982513980949508,18.162248611450195
9.0,51171190.0,58413.0,136.0,8.399000000000001,8.8076,0.4001708614987354,0.23911446302215697,18.123226404190063
10.0,93485964.0,37593.0,89.0,7.6953000000000005,8.172,0.3312020262538937,0.24849799408936207,18.109570503234863
11.0,64573757.0,76262.0,442.0,7.4910000000000005,8.6941,0.3450570328689592,0.2489884615416968,18.157260417938232
12.0,63081734.0,34489.0,287.0,6.9008,7.1732000000000005,0.32558073383325864,0.24831557287498554,18.124964952468872
13.0,19040760.0,19687.0,439.0,6.878100000000001,7.127800000000001,0.3552193274786342,0.24892083694081857,18.09663987159729
14.0,14191450.0,77750.0,174.0,7.8542000000000005,7.945,0.298477203393888,0.24123669890999339,18.174755334854126
15.0,60109831.0,21338.0,392.0,8.716800000000001,8.853,0.3388980256064495,0.2459021983309155,18.12338662147522
16.0,74215809.0,36626.0,373.0,9.1935,9.4205,0.34617698490917026,0.24148579449396398,18.163790702819824
17.0,53126832.0,43162.0,344.0,5.4026000000000005,5.5388,0.35043168971938,0.24422889066073608,18.09912085533142
18.0,94219943.0,97738.0,124.0,6.401400000000001,6.4922,0.362314374220822,0.24475248976989158,18.10029649734497
19.0,48303580.0,14911.0,371.0,9.6248,9.7156,0.28918425903013734,0.2488855052442556,18.17726993560791
20.0,70434624.0,35617.0,428.0,7.5364,7.6726,0.31816209866627937,0.24397267130184147,18.1670925617218
21.0,42993190.0,54957.0,431.0,8.0585,8.194700000000001,0.347907030153263,0.24163190763727194,18.226519107818604
22.0,22524359.0,55906.0,3.0,9.579400000000001,9.7383,0.34680469725077395,0.24332848560147718,18.170048475265503
23.0,47702546.0,29908.0,190.0,7.4229,7.5137,0.30969960074034275,0.23816730106502654,18.113465547561646
24.0,83032946.0,21970.0,255.0,4.4492,4.54,0.38521205081814197,0.24724448478091474,18.098304271697998
25.0,26853073.0,63432.0,137.0,9.034600000000001,9.148100000000001,0.3491420093829436,0.2306077014435549,18.1078200340271
26.0,33381032.0,17548.0,77.0,7.445600000000001,7.8315,0.3209652547216699,0.248788432587519,18.11339545249939
27.0,60568671.0,52397.0,117.0,7.9904,8.103900000000001,0.343857309440151,0.24626008957801415,18.1026930809021
28.0,62702034.0,49918.0,340.0,8.4444,8.716800000000001,0.3672873137201658,0.24857266193882194,18.118905544281006
29.0,54372687.0,54010.0,152.0,5.6977,5.992800000000001,0.34513896544600203,0.24834495133714204,18.141345024108887
30.0,59847613.0,53213.0,145.0,7.5364,7.6953000000000005,0.2979107437376593,0.2458919541413598,18.118940830230713
31.0,37823133.0,11645.0,463.0,7.4683,7.5364,0.3125084496625248,0.24006792704755328,18.136324405670166
32.0,14588660.0,71827.0,56.0,6.7419,6.7873,0.3158424349345429,0.24490416647508326,18.12383460998535
33.0,15671528.0,63470.0,107.0,6.7873,6.9462,0.3589059464140689,0.24429848958920283,18.124305963516235
34.0,43334590.0,37623.0,330.0,5.6523,5.7658000000000005,0.36605081829772934,0.2494702547984352,18.117727279663086
35.0,70837617.0,54084.0,70.0,8.921100000000001,9.443200000000001,0.33768009495518625,0.2499978974579217,18.110785722732544
