D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
512,1,3.5200000000000003e-09,4.903200000000001,5.0484800000000005,0.3127593861417837,0.2421886485407738,1.4382738630038443,1.4922207199338842,0.0259779185777587,0.0070551038292373
1024,1,3.1600000000000005e-08,6.201640000000001,6.38778,0.3257497527479425,0.2440779951898026,1.1351588888785569,1.0768273245975883,0.0466799855985201,0.004174895264023
2048,1,9.64e-08,6.546680000000001,6.68742,0.333924617469261,0.2411635474743261,1.4075464439939451,1.44529671763275,0.060480422338474,0.0077426477868601
4096,1,8.92e-08,7.323020000000001,7.50916,0.3462480984704525,0.2407810604526419,1.516540094095768,1.5449680702202233,0.0239456540041207,0.0052641223892591
8192,1,1.3599999999999997e-07,7.749780000000001,8.103900000000001,0.3271370816923363,0.2454817741748525,0.471974434688999,0.4632691280454594,0.0287488670770075,0.004123621034656
11586,1,2.44e-07,8.20832,8.3309,0.3272895506137807,0.2440814504633331,1.9543500369688127,1.952727835618676,0.0176151056754969,0.0091768846925213
16384,1,6.399999999999999e-07,7.799720000000001,8.15838,0.1157018438914392,0.0871456794396422,1.4517887887017182,1.4647745567151276,0.0119856378425658,0.0019626972593151
