D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
512,1,5.3200000000000015e-09,4.118234000000001,4.258066,0.3286578233897243,0.24319092352002558,1.052658281258866,1.0759553434854383,0.030750793524866576,0.006169511138549352
1024,1,1.72e-08,5.300904000000001,5.502026000000001,0.33952526832615354,0.24279061745898092,1.0069602816103822,1.008226388281611,0.028063377262161862,0.00541174308553241
2048,1,1.3599999999999997e-07,5.647306,5.809384000000001,0.33170256464514253,0.24338640974981107,1.031142054962242,1.003719179759185,0.033914096838523464,0.00494437675271881
4096,1,1.72e-07,5.963744000000001,6.182118000000001,0.34016293784560375,0.24267822478629908,1.0868026521648049,1.1034850459774384,0.031029981494358202,0.00476277831513219
8192,1,3.16e-07,6.553036000000001,6.761876000000001,0.3350348911253691,0.24292492977052949,1.0658401545479288,1.0751291819842028,0.03591972865481806,0.00444845662306432
11586,1,3.52e-07,7.033368000000001,7.213606000000001,0.3280792181519573,0.24307484134010043,1.3054436332357366,1.2984699573362672,0.0330402973333746,0.0060890166817463304
16384,1,3.88e-07,6.533060000000002,6.716476,0.11955747230641484,0.08681058718059229,1.1487495865996176,1.197953781401616,0.013803820246405833,0.0019391582056789902
