beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
1e-08,0.019350000000000003,0.019350000000000003,0.016872667521726833,0.0259353018170102,0.004807546151624547,0.004807546151624547,0.024253310780613362,0.04263996935792833
1.36e-08,0.021500000000000002,0.021500000000000002,0.02783533532871328,0.025597033322029485,0.0,0.0,0.0327891482760825,0.031117249493878302
1.72e-08,0.0172,0.0172,0.008596139978736565,0.008929669277059848,0.005888017493180535,0.005888017493180535,0.013128451312550695,0.014863783031958568
2.08e-08,0.015050000000000001,0.015050000000000001,0.02514542616781893,0.03697662132970066,0.005888017493180536,0.005888017493180536,0.04829492559998175,0.07324614818572975
2.44e-08,0.019350000000000003,0.019350000000000003,0.028191570936450108,0.03635902271452456,0.008994095285241312,0.008994095285241312,0.04252803715765325,0.05574287868166512
2.8e-08,0.015050000000000001,0.015050000000000001,0.0105303383695283,0.013967189502749739,0.005888017493180535,0.005888017493180535,0.013754167250133838,0.018478042072050338
3.1600000000000005e-08,0.02365,0.02365,0.06296730411470501,0.0687562453359667,0.004807546151624549,0.004807546151624549,0.0558309751667146,0.08724998199253502
3.5200000000000004e-08,0.021500000000000002,0.021500000000000002,0.05542410850642038,0.06952296839456361,0.0,0.0,0.06735547339054292,0.08678496149019688
3.88e-08,0.019350000000000003,0.019350000000000003,0.024735999226843747,0.027262635989575453,0.0048075461516245465,0.0048075461516245465,0.045462836976655194,0.049844659561623254
4.24e-08,0.019350000000000003,0.021500000000000002,0.060901690459038794,0.04610815038464347,0.0048075461516245465,0.0,0.1100933562466549,0.07460879642488706
4.5999999999999995e-08,0.01935,0.01935,0.023032738559498184,0.017649315773738614,0.004807546151624548,0.004807546151624548,0.027564482407720775,0.019720109497790718
4.96e-08,0.021500000000000002,0.021500000000000002,0.07520719345169831,0.08401956832877072,0.007601397897755386,0.007601397897755386,0.1051140835825886,0.11382072633370006
5.3200000000000007e-08,0.019350000000000003,0.0172,0.06586548648734926,0.08986294031842057,0.008994095285241312,0.009615092303249096,0.09593388342576929,0.12769524575580346
