D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
256,1,6.58e-10,3.0688584000000003,3.2421956000000005,0.33567207233014296,0.24336545296216722,0.638457671743969,0.6794184987580366,0.03481749767756522,0.004887719154256681
512,1,2.98e-09,4.5411804,4.732496,0.33260045950728734,0.24354707217702282,0.8897791689985411,0.9275024287631819,0.038744167923580514,0.005252826544089581
1024,1,8.74e-09,5.712500400000001,5.911261600000002,0.33276554325282126,0.2435446319078472,1.067078789360001,1.088391936875073,0.036761083267122255,0.00494625855289427
2048,1,6.22e-08,5.9441312,6.1526988000000005,0.3295458007603871,0.2429389186085259,1.0738025015433585,1.0792906507087328,0.03417539972802056,0.00504106792172811
4096,1,1.1799999999999998e-07,6.457242000000001,6.636390400000001,0.33347236734824665,0.24329018921986834,1.1289997836516852,1.1563104756765108,0.036620016053275375,0.00502181115783436
8192,1,2.44e-07,6.930310000000001,7.132975600000002,0.33671840819910154,0.24360531425624704,1.1257020147749188,1.1361555987529435,0.03462577607476692,0.00497597358686301
16384,1,2.8e-07,7.652624000000003,7.853746000000001,0.34270500378528473,0.2439486383911127,1.1766043924469836,1.177648207885525,0.031940197917481115,0.00502956952705267
