D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
512,1,3.5200000000000003e-09,0.19204200000000005,0.22654600000000003,0.11144875236757504,0.08091942358923207,0.03708121870784446,0.03937965186460794,0.01126593672552008,0.00458980088507588
1024,1,6.4e-09,0.613808,0.7232220000000001,0.12095967422688876,0.08681205775603698,0.16181944325181408,0.18605687175824642,0.01335950755773355,0.0023204367000662506
2048,1,4.6e-08,1.5667540000000002,1.6870640000000003,0.11891442083852954,0.08755590625409677,0.3650713619296512,0.37807741767738706,0.0100708424661697,0.0014438012432383901
4096,1,3.16e-07,1.8632160000000002,2.009404,0.11703099785123901,0.08768159765405692,0.38936888171256084,0.38686390539661775,0.01210070501763217,0.00178970713960467
8192,1,3.16e-07,1.9689980000000002,2.1210880000000008,0.11680315418472191,0.0876000703087197,0.44900545450894735,0.5002825097097473,0.010940961329051271,0.0021853396385753798
