beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
1e-05,0.188,0.188,0.057265842012571275,0.054263173123705044,0.0,0.0,0.007786756372846333,0.006034985309070319
1.36e-05,0.19974999999999998,0.19974999999999998,0.08080149456787238,0.07740867731338227,0.016617009357883863,0.016617009357883863,0.05509727547466638,0.056663434553471705
1.72e-05,0.2115,0.2115,0.0574244983993244,0.06272216520451879,0.0,0.0,0.003852760890051591,0.0025977999455107435
2.08e-05,0.24675,0.24675,0.2056453120407295,0.19482209412131657,0.01661700935788388,0.01661700935788388,0.006082454660716228,0.009239711081533602
2.44e-05,0.29375,0.29375,0.21210419972210712,0.20634406711886977,0.049851028073651604,0.049851028073651604,0.048064131442585416,0.046189814928199555
2.8e-05,0.28200000000000003,0.28200000000000003,0.21547462333162085,0.22146378499990604,0.0,0.0,0.025263062006323108,0.025284441326988538
3.16e-05,0.29375,0.29375,0.08277087758971183,0.08553274976516671,0.016617009357883843,0.016617009357883843,0.004757028095079207,0.003710077794213014
3.52e-05,0.34075,0.34075,0.12694236053653007,0.1192808740142117,0.016617009357883843,0.016617009357883843,0.017332543956335152,0.021932213867694485
3.88e-05,0.28200000000000003,0.28200000000000003,0.12954242949928774,0.12311109044089914,0.06646803743153548,0.06646803743153548,0.039094307884152794,0.0464906511150982
4.240000000000001e-05,0.36424999999999996,0.376,0.18295176439647393,0.1775787688681176,0.01661700935788388,0.03323401871576776,0.10877343718416771,0.08902058693278629
4.6e-05,0.69325,0.69325,0.20212660028734497,0.1849939562842881,0.38219121523132893,0.38219121523132893,0.026366934519826128,0.008682548808212072
4.9600000000000006e-05,0.50525,0.50525,0.1763418187969021,0.18451334132116642,0.14955308422095479,0.14955308422095479,0.01412408430244161,0.004577028335990476
5.3200000000000006e-05,0.48175,0.48175,0.18030922505299019,0.18530971714711186,0.18278710293672254,0.18278710293672254,0.09237402107917445,0.09134321317417578
5.6800000000000005e-05,0.71675,0.71675,0.2254338684046647,0.2312857071175487,0.1495530842209548,0.1495530842209548,0.007432674218632537,0.003320361025060682
6.0400000000000004e-05,0.658,0.658,0.17389111392140438,0.15280276419985267,0.3323401871576774,0.3323401871576774,0.054285100815330514,0.047581510682095714
6.4e-05,2.491,2.491,0.22263227441678662,0.23031000893261755,1.3625947673464769,1.3625947673464769,0.018259159240242337,0.020760926383442537
6.76e-05,2.62025,2.6790000000000003,0.29766303268908856,0.2371329493508706,0.38219121523132876,0.36557420587344497,0.009936850002720739,0.005850440517415796
7.120000000000001e-05,1.2925,1.28075,0.22566312447139814,0.23313597993081864,0.9637865427572643,0.9804035521151481,0.013503701674204324,0.03236629133036553
7.48e-05,2.3970000000000002,2.38525,0.22342741935534666,0.23534222211018008,1.7281689732199221,1.711551963862038,0.020257984105721043,0.04779102886505696
7.840000000000001e-05,0.7755,0.7637499999999999,0.21513128806614584,0.21687906357547415,0.09970205614730321,0.11631906550518706,0.03668028929535328,0.05014145078467702
8.2e-05,0.8460000000000001,0.8460000000000001,0.20943386243715573,0.21380118661134462,0.03323401871576776,0.03323401871576776,0.0404761536742434,0.0425081592930128
