D_r,B,beta,tau_f_nmse_mean,tau_f_se_mean,nmse_mean,se_mean,tau_f_nmse_std,tau_f_se_std,nmse_std,se_std
512,1,5.68e-10,9.397752,10.404576000000002,0.0390424327664884,0.0544340221725576,1.449148261658091,1.2997157629266485,0.0053654594601675,0.0249197468194968
512,2,7.12e-10,10.86904,11.334232,0.0398502740552788,0.0758899808443902,2.0813087965668786,2.219624624180104,0.0045130914630189,0.0340797527614709
512,4,4.24e-10,11.57156,12.239136000000002,0.0414414512635181,0.0676391134876788,1.6846063931969393,1.8080558838339775,0.0079134689435043,0.0338703929226933
512,8,4.5999999999999996e-10,11.661832,11.73172,0.0437175283114273,0.100109125163547,1.6876045890353977,1.7752309605607188,0.0077411488040278,0.135570047482713
512,16,4.42e-10,12.137944,12.755288,0.0412251378516713,0.0721371317042425,1.7905192929426923,2.007718490459589,0.0060107527182659,0.0446698713605181
512,32,8.92e-10,12.619880000000002,13.08216,0.0419050084567267,0.0700320653187796,1.774971270753417,1.956453441306489,0.0057128827088609,0.021140981614121
1024,1,9.640000000000002e-10,10.50504,10.974600000000002,0.0415215277070973,0.0520502948802823,1.402959132690614,1.7443064581661096,0.0053260385754545,0.0216358342011967
2048,1,7.12e-09,10.748920000000002,11.469640000000002,0.0438119814490705,0.0647204682450007,3.20590300726644,3.777769401114897,0.0097823119412485,0.0362216606016603
4096,1,8.92e-09,10.76348,11.60068,0.0400796943336708,0.0640897560028729,1.419284965044019,1.2884520293747843,0.0063426697173783,0.0270396246891551
8192,1,4.24e-08,10.741640000000002,11.45872,0.043543648496112,0.0822217688399245,3.666642844346857,3.49796708560844,0.0066688408530499,0.0612514359519405
16384,1,4.6e-08,10.67612,11.14204,0.04295642680953,0.0714662772151798,1.3188157536214071,1.6885539813698585,0.0059631909631021,0.0328145110527498
